pmid,title,pub_year,author_raw,author_id,author_position,affiliation,author_raw_original
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Yoo-Jeong M,Yoo-Jeong M,1,"School of Nursing, Bouvé College of Health Sciences, Northeastern University, Boston, MA, USA. Electronic address: m.yoo-jeong@northeastern.edu.",Yoo-Jeong M
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Cheng GJ,Cheng GJ,2,"Social Environment and Health Program, Survey Research Center, Institute for Social Research, University of Michigan, Ann Arbor, MI, USA. Electronic address: JIC211@pitt.edu.",Cheng GJ
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Dubowitz T,Dubowitz T,3,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, PA, USA. Electronic address: TAD191@pitt.edu.",Dubowitz T
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Troxel WM,Troxel WM,4,"RAND Corporation, Health Division, Pittsburgh, PA, USA. Electronic address: wtroxel@rand.org.",Troxel WM
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Hunter G,Hunter GP,5,"RAND Corporation, Pittsburgh, PA, USA. Electronic address: ghunter@rand.org.",Hunter G
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Dastidar BG,Dastidar BG,6,"RAND Corporation, Pittsburgh, PA, USA. Electronic address: bonnieg@rand.org.",Dastidar BG
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Hill-Jarrett TG,Hill-Jarrett TG,7,"Memory and Aging Center, Department of Neurology, University of California San Francisco, USA; Global Brain Health Institute, University of California San Francisco, USA. Electronic address: tanisha.hill-jarrett@ucsf.edu.",Hill-Jarrett TG
41886933,Beyond individual correlates: The moderating roles of neighborhood factors on loneliness among adults in predominately Black neighborhoods in Pittsburgh.,2026,Rosso AL,Rosso AL,8,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, PA, USA. Electronic address: ALR143@pitt.edu.",Rosso AL
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Mousavi-Raad A,Mousavi-Raad A,1,"Division of Social and Economic Well-being, RAND Corporation, Santa Monica, California, USA.",Mousavi-Raad A
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Palimaru AI,Palimaru AI,2,"Division of Social and Economic Well-being, RAND Corporation, Santa Monica, California, USA.",Palimaru AI
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Dastidar MG,Dastidar MG,3,"Division of Social and Economic Well-being, RAND Corporation, Santa Monica, California, USA.",Dastidar MG
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Rosso AL,Rosso AL,4,"Department of Epidemiology, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Rosso AL
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Dubowitz T,Dubowitz T,5,"Department of Epidemiology, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Dubowitz T
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Hill-Jarrett TG,Hill-Jarrett TG,6,"Department of Neurology, Memory & Aging Center, University of California San Francisco, San Francisco, California, USA.",Hill-Jarrett TG
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Gary-Webb TL,Gary-Webb TL,7,"Department of Epidemiology, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Gary-Webb TL
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Pedersen SL,Pedersen SL,8,"Department of Psychiatry, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Pedersen SL
41364904,From Childhood to Adulthood: A Mixed-Methods Exploration of Social Environments and Psychological Well-Being in Predominantly Black American Urban Communities.,2026,Troxel WM,Troxel WM,9,"Division of Social and Economic Well-being, RAND Corporation, Pittsburgh, Pennsylvania, USA.",Troxel WM
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Troxel WM,Troxel WM,1,"Division of Social and Economic Well-Being, RAND, Pittsburgh, Pennsylvania, United States. Electronic address: wtroxel@rand.org.",Troxel WM
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Haas A,Haas A,2,"Division of Social and Economic Well-Being, RAND, Pittsburgh, Pennsylvania, United States.",Haas A
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Ghosh-Dastidar B,Ghosh-Dastidar B,3,"Division of Economics and Sociology, RAND, Santa Monica, California, United States.",Ghosh-Dastidar B
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Rosso AL,Rosso AL,4,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, Pennsylvania, United States.",Rosso AL
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Hale L,Hale L,5,"Stony Brook University, Department of Family, Population, and Preventive Medicine, Program in Public Health, Stony Brook, New York, United States.",Hale L
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Buman MP,Buman MP,6,"Arizona State University, College of Health Solutions, Phoenix, Arizona, United States.",Buman MP
40263076,Sustained impacts of neighborhood investments on sleep health over a 5-year period: Insights from a natural experiment in two urban neighborhoods in the United States.,2025,Dubowitz T,Dubowitz T,7,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, Pennsylvania, United States.",Dubowitz T
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Palimaru AI,Palimaru AI,1,"Division of Social and Economic Well-Being, RAND Corporation, 1776 Main St, PO Box 2138, Santa Monica, CA, 90407-2138, USA. palimaru@rand.org.",Palimaru AI
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Mousavi A,Mousavi A,2,"Division of Social and Economic Well-Being, RAND Corporation, 1776 Main St, PO Box 2138, Santa Monica, CA, 90407-2138, USA.",Mousavi A
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,McDonald K,McDonald K,3,"Division of Social and Economic Well-Being, RAND Corporation, 1776 Main St, PO Box 2138, Santa Monica, CA, 90407-2138, USA.",McDonald K
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Rosso AL,Rosso AL,4,"School of Public Health, Department of Epidemiology, University of Pittsburgh, 130 De Soto Street, Pittsburgh, PA, 15261, USA.",Rosso AL
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Dubowitz T,Dubowitz T,5,"School of Public Health, Department of Epidemiology, University of Pittsburgh, 130 De Soto Street, Pittsburgh, PA, 15261, USA.",Dubowitz T
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Hill-Jarrett TG,Hill-Jarrett TG,6,"Department of Neurology, Memory and Aging Center, and the Global Brain Health Institute, University of California San Francisco, 1651 4th Street, San Francisco, CA, 94158, USA.",Hill-Jarrett TG
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Gary-Webb TL,Gary-Webb TL,7,"School of Public Health, Department of Epidemiology, University of Pittsburgh, 130 De Soto Street, Pittsburgh, PA, 15261, USA.",Gary-Webb TL
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Pedersen SL,Pedersen SL,8,"Department of Psychiatry, University of Pittsburgh, 3811 O'Hara Street, Pittsburgh, PA, 15213, USA.",Pedersen SL
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Wagner L,Wagner L,9,"Division of Social and Economic Well-Being, RAND Corporation, 4570 Fifth Ave, Suite 600, Pittsburgh, PA, USA.",Wagner L
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Dastidar MG,Dastidar MG,10,"Division of Social and Economic Well-Being, RAND Corporation, 1776 Main St, PO Box 2138, Santa Monica, CA, 90407-2138, USA.",Dastidar MG
40038233,"Perceptions About Housing and Neighborhood Characteristics Among Aging Adult Black Americans in Two Predominantly Black, Low-Income Neighborhoods in Pittsburgh: A Multi-Method Analysis.",2026,Troxel WM,Troxel WM,11,"Division of Social and Economic Well-Being, RAND Corporation, 4570 Fifth Ave, Suite 600, Pittsburgh, PA, USA.",Troxel WM
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Smith RB,Smith RB,1,"Sol Price School of Public Policy, University of Southern California, Los Angeles, United States.",Smith RB
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Baird MD,Baird MD,2,"Department of Economics, Sociology, and Statistics, RAND Corporation, Pittsburgh, PA, USA.",Baird MD
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Hunter GP,Hunter GP,3,"Research Programming, RAND Corporation, Pittsburgh, PA.",Hunter GP
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Ghosh-Dastidar B,Ghosh-Dastidar B,4,"Department of Economics, Sociology, and Statistics, RAND Corporation, Pittsburgh, PA, USA.",Ghosh-Dastidar B
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Richardson AS,Richardson AS,5,"Department of Behavioral and Policy Sciences, RAND Corporation, Pittsburgh, PA, USA.",Richardson AS
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Cantor JH,Cantor J,6,"Department of Behavioral and Policy Sciences, RAND Corporation, Santa Monica, CA, USA.",Cantor JH
39157451,"Do Publicly Funded Neighborhood Investments Impact Individual-Level Health-Related Outcomes? A Longitudinal Study of Two Neighborhoods in Pittsburgh, PA from 2011 to 2018.",2024,Dubowitz T,Dubowitz T,7,"Department of Behavioral and Policy Sciences, RAND Corporation, Pittsburgh, PA, USA.",Dubowitz T
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Troxel WM,Troxel WM,1,"Division of Social and Economic Well-Being, RAND Corporation, Pittsburgh, Pennsylvania, USA.",Troxel WM
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Dubowitz T,Dubowitz T,2,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Dubowitz T
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Haas A,Haas A,3,"Division of Social and Economic Well-Being, RAND Corporation, Pittsburgh, Pennsylvania, USA.",Haas A
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Ghosh-Dastidar B,Ghosh-Dastidar B,4,"Division of Economics and Sociology, RAND Corporation, Santa Monica, California, USA.",Ghosh-Dastidar B
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Butters MA,Butters MA,5,"Department of Psychiatry, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, USA.",Butters MA
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Gary-Webb TL,Gary-Webb TL,6,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Gary-Webb TL
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Weinstein AM,Weinstein AM,7,"Department of Psychiatry, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, USA.",Weinstein AM
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Ibeanu A,Ibeanu A,8,"Division of Social and Economic Well-Being, RAND Corporation, Pittsburgh, Pennsylvania, USA.",Ibeanu A
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Wagner L,Wagner L,9,"PHRESH Field Office, Pittsburgh, Pennsylvania, USA.",Wagner L
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Gildengers A,Gildengers A,10,"Department of Psychiatry, University of Pittsburgh School of Medicine, Pittsburgh, Pennsylvania, USA.",Gildengers A
39021075,A Preliminary Analysis of Stress Burden and Cognitive Function and Clinically Adjudicated Cognitive Outcomes in Black American Adults.,2024,Rosso AL,Rosso AL,11,"Department of Epidemiology, School of Public Health, University of Pittsburgh, Pittsburgh, Pennsylvania, USA.",Rosso AL
